,date,geo_code,inf_hosp_intensive,inf_hosp_nonintensive,inf_home,inf_recovered,inf_dead,inf_tot_cum
258,2020-03-07T18:00:00,19,0,8,25,2,0,35
259,2020-03-07T18:00:00,20,0,2,3,0,0,5
260,2020-03-08T18:00:00,1,45,245,65,0,5,360
261,2020-03-08T18:00:00,2,0,1,8,0,0,9
262,2020-03-08T18:00:00,3,399,2217,756,550,267,4189
263,2020-03-08T18:00:00,4,2,15,15,0,0,32
264,2020-03-08T18:00:00,5,47,146,430,29,18,670
265,2020-03-08T18:00:00,6,1,7,45,3,1,57
266,2020-03-08T18:00:00,7,11,39,17,5,6,78
267,2020-03-08T18:00:00,8,75,542,480,27,56,1180
268,2020-03-08T18:00:00,9,7,91,67,1,0,166
269,2020-03-08T18:00:00,10,2,2,22,0,0,26
270,2020-03-08T18:00:00,11,41,110,114,0,7,272
271,2020-03-08T18:00:00,12,8,47,26,3,3,87
272,2020-03-08T18:00:00,13,0,14,3,0,0,17
273,2020-03-08T18:00:00,14,2,4,8,0,0,14
274,2020-03-08T18:00:00,15,7,30,63,1,0,101
275,2020-03-08T18:00:00,16,3,17,16,1,3,40
276,2020-03-08T18:00:00,17,0,2,2,0,0,4
277,2020-03-08T18:00:00,18,0,5,4,0,0,9
278,2020-03-08T18:00:00,19,0,18,33,2,0,53
279,2020-03-08T18:00:00,20,0,5,6,0,0,11
280,2020-03-09T18:00:00,1,50,222,65,0,13,350
281,2020-03-09T18:00:00,2,0,4,11,0,0,15
282,2020-03-09T18:00:00,3,440,2802,1248,646,333,5469
283,2020-03-09T18:00:00,4,2,18,22,0,0,42
284,2020-03-09T18:00:00,5,51,186,457,30,20,744
285,2020-03-09T18:00:00,6,1,18,70,3,1,93
286,2020-03-09T18:00:00,7,17,60,20,5,7,109
287,2020-03-09T18:00:00,8,90,576,620,30,70,1386
288,2020-03-09T18:00:00,9,9,107,90,1,1,208
289,2020-03-09T18:00:00,10,2,4,22,0,0,28
290,2020-03-09T18:00:00,11,47,136,130,0,10,323
291,2020-03-09T18:00:00,12,8,55,31,3,5,102
292,2020-03-09T18:00:00,13,0,25,5,0,0,30
293,2020-03-09T18:00:00,14,2,4,8,0,0,14
294,2020-03-09T18:00:00,15,8,42,69,1,0,120
295,2020-03-09T18:00:00,16,6,20,20,1,3,50
296,2020-03-09T18:00:00,17,0,2,3,0,0,5
297,2020-03-09T18:00:00,18,0,8,1,2,0,11
298,2020-03-09T18:00:00,19,0,19,33,2,0,54
299,2020-03-09T18:00:00,20,0,8,11,0,0,19
300,2020-03-10T18:00:00,1,66,306,64,0,17,453
301,2020-03-10T18:00:00,2,0,2,15,0,0,17
302,2020-03-10T18:00:00,3,466,3319,642,896,468,5791
303,2020-03-10T18:00:00,4,4,36,48,2,0,90
304,2020-03-10T18:00:00,5,67,204,512,47,26,856
305,2020-03-10T18:00:00,6,6,27,77,3,3,116
306,2020-03-10T18:00:00,7,29,57,42,5,8,141
307,2020-03-10T18:00:00,8,98,669,650,31,85,1533
308,2020-03-10T18:00:00,9,40,91,129,3,1,264
309,2020-03-10T18:00:00,10,2,8,27,0,0,37
310,2020-03-10T18:00:00,11,54,152,175,0,13,394
311,2020-03-10T18:00:00,12,15,50,34,11,6,116
312,2020-03-10T18:00:00,13,9,17,11,0,1,38
313,2020-03-10T18:00:00,14,3,3,9,0,0,15
314,2020-03-10T18:00:00,15,8,33,85,1,0,127
315,2020-03-10T18:00:00,16,6,28,21,1,3,59
316,2020-03-10T18:00:00,17,0,2,5,0,0,7
317,2020-03-10T18:00:00,18,2,8,1,2,0,13
318,2020-03-10T18:00:00,19,2,17,41,2,0,62
319,2020-03-10T18:00:00,20,0,9,11,0,0,20
320,2020-03-11T17:00:00,1,75,319,86,0,21,501
321,2020-03-11T17:00:00,2,0,2,17,0,1,20
322,2020-03-11T17:00:00,3,560,3852,1351,900,617,7280
323,2020-03-11T17:00:00,4,8,36,105,3,0,152
324,2020-03-11T17:00:00,5,68,262,610,54,29,1023
